Date,Open,High,Low,Close,Volume
2018-01-01,150.54,152.02,149.2,150.89,5820545
2018-01-02,147.81,148.79,146.84,148.18,5551140
2018-01-03,151.11,152.89,149.13,150.31,3778267
2018-01-04,153.23,154.65,152.3,153.03,6413100
2018-01-05,147.79,148.15,147.17,147.91,6121641
2018-01-08,144.95,145.36,143.27,144.67,3284506
2018-01-09,143.96,146.91,143.32,145.19,6133934
2018-01-10,144.53,145.47,143.65,144.55,7428966
2018-01-11,145.86,146.09,143.9,144.7,6716949
2018-01-12,142.75,143.39,142.16,142.68,6132432
2018-01-15,145.17,147.23,144.9,145.13,6365619
2018-01-16,147.67,147.98,147.19,147.34,6632960
2018-01-17,148.21,148.58,146.55,147.68,3023834
2018-01-18,149.65,150.96,148.98,150.85,6046735
2018-01-19,151.25,153.17,151.16,152.27,2395974
2018-01-22,150.2,150.71,149.21,150.07,3509189
2018-01-23,150.77,151.78,150.04,151.21,7541692
2018-01-24,149.54,150.49,148.61,148.76,2981227
2018-01-25,151.08,151.62,150.82,151.27,6905356
2018-01-26,150.12,153.15,148.56,151.29,3957619
2018-01-29,150.19,152.07,149.24,150.96,2469046
2018-01-30,147.65,150.64,147.37,149.29,1679212
2018-01-31,152.66,153.17,152.54,152.81,4837537
2018-02-01,152.46,153.28,152.4,152.58,4158963
2018-02-02,151.35,151.76,150.41,151.61,4579408
2018-02-05,151.5,151.51,149.77,150.85,1301986
2018-02-06,153.23,153.9,152.28,152.49,2876865
2018-02-07,153.58,154.93,153.4,153.68,1027621
2018-02-08,153.67,155.77,153.02,154.99,3117424
2018-02-09,156.72,156.98,154.99,156.34,7520492
2018-02-12,162.96,163.06,161.71,162.6,2066182
2018-02-13,161.69,162.25,161.21,161.49,5825358
2018-02-14,160.69,161.87,158.34,160.06,1040460
2018-02-15,157.01,158.08,155.6,157.75,4932928
2018-02-16,160.77,161.82,159.48,159.49,7446555
2018-02-19,162.1,163.2,161.74,162.72,3387714
2018-02-20,162.81,162.95,161.44,162.33,2380129
2018-02-21,158.74,159.91,158.45,159.82,4993766
2018-02-22,156.79,158.17,155.75,157.38,2952621
2018-02-23,160.12,160.18,158.49,159.15,7241030
2018-02-26,161.04,162.43,160.02,161.21,6942986
2018-02-27,163.27,163.39,162.46,162.72,5566660
2018-02-28,160.88,161.74,158.94,160.73,5473279
2018-03-01,161.28,161.83,160.35,161.35,5217373
2018-03-02,162.53,162.73,161.1,161.65,6147044
2018-03-05,162.11,162.63,162.09,162.26,4221431
2018-03-06,163.63,165.29,160.99,164.81,7788213
2018-03-07,164.92,165.98,163.69,165.46,3419879
2018-03-08,167.84,168.74,167.34,167.47,1062569
2018-03-09,167.92,169.35,166.83,167.65,5889829
2018-03-12,167.44,169.5,166.44,168.5,5635591
2018-03-13,169.88,171.33,169.19,170.38,7866866
2018-03-14,165.52,166.81,164.84,165.91,3767279
2018-03-15,164.65,164.96,164.29,164.89,3973303
2018-03-16,162.52,163.86,160.78,163.42,4934004
2018-03-19,161.06,162.57,159.49,161.47,3745436
2018-03-20,160.12,161.01,159.77,160.59,6494003
2018-03-21,165.39,165.86,164.43,164.88,3996794
2018-03-22,162.79,163.45,161.49,162.26,6485359
2018-03-23,164.97,165.38,163.72,165.06,3978807
2018-03-26,159.86,161.24,159.24,160.11,2575689
2018-03-27,159.24,159.43,158.45,159.15,7934373
2018-03-28,159.12,162.01,158.82,159.65,4685392
2018-03-29,160.66,161.57,160.44,161.4,5947447
2018-03-30,162.97,163.87,162.48,163.58,5138850
2018-04-02,165.65,166.07,165.53,166.07,3514291
2018-04-03,164.42,165.44,161.39,165.19,7804979
2018-04-04,164.11,164.54,163.83,164.01,3600516
2018-04-05,167.25,169.33,166.12,166.76,7951648
2018-04-06,165.35,167.25,164.91,166.41,4015578
2018-04-09,162.86,163.7,162.74,162.84,1158543
2018-04-10,159.62,159.96,158.05,159.77,1256985
2018-04-11,157.56,159.04,157.05,157.34,7815602
2018-04-12,158.94,159.69,158.53,158.95,4694714
2018-04-13,158.61,160.75,157.62,159.54,3713452
2018-04-16,160.89,162.54,160.54,161.71,6679666
2018-04-17,160.65,160.66,159.76,160.63,5320044
2018-04-18,161.9,163.58,158.88,161.24,5623974
2018-04-19,161.77,164.45,161.31,163.21,5798142
2018-04-20,162.68,163.7,161.71,162.45,2388945
2018-04-23,164.73,165.19,163.6,163.95,1617883
2018-04-24,162.06,163.24,161.28,162.16,6096239
2018-04-25,161.62,161.85,161.13,161.27,1152660
2018-04-26,159.89,160.84,158.66,160.34,6036210
2018-04-27,157.04,157.56,156.76,157.11,1909537
2018-04-30,157.67,159.4,157.22,158.69,2837774
2018-05-01,156.09,158.66,155.61,157.56,5954309
2018-05-02,158.4,159.26,156.39,157.81,5360122
2018-05-03,158.76,159.54,157.14,159.39,6470756
2018-05-04,160.59,161.81,160.14,160.88,5276643
2018-05-07,162.11,164.22,161.28,163.01,1334944
2018-05-08,161.97,163.54,160.47,162.89,6878513
2018-05-09,161.69,162.71,161.46,161.8,2510211
2018-05-10,161.21,162.44,160.93,161.68,1952506
2018-05-11,157.16,158.89,156.21,156.93,7149772
2018-05-14,153.21,154.26,152.14,152.94,2363869
2018-05-15,149.54,150.74,149.03,149.35,4752506
2018-05-16,146.82,147.4,146.39,146.68,4401786
2018-05-17,148.63,150.43,146.66,147.7,6386566
2018-05-18,144.64,145.77,143.0,145.26,1309016
2018-05-21,144.17,145.09,143.53,144.21,1746839
2018-05-22,148.21,148.68,147.5,147.54,3909159
2018-05-23,147.26,147.95,146.48,146.52,4312835
2018-05-24,147.56,149.34,147.07,148.41,6517533
2018-05-25,145.69,145.93,145.58,145.87,5240123
2018-05-28,146.06,146.1,145.11,145.27,2041000
2018-05-29,143.06,143.71,141.86,142.77,7852170
2018-05-30,141.98,142.09,140.76,141.87,4219641
2018-05-31,143.88,145.12,142.9,144.01,7752137
2018-06-01,139.37,140.26,139.0,139.58,7928384
2018-06-04,140.82,141.02,140.58,140.66,1361716
2018-06-05,141.11,142.28,139.42,141.25,4541440
2018-06-06,139.7,141.08,139.35,139.73,3954243
2018-06-07,136.15,136.79,135.57,136.11,4488266
2018-06-08,135.88,136.49,135.43,136.25,3169580
2018-06-11,135.2,135.81,133.57,134.91,4911555
2018-06-12,137.0,137.55,133.14,135.42,4445373
2018-06-13,134.45,135.54,133.64,135.41,2302030
2018-06-14,139.48,140.17,137.02,139.3,3019580
2018-06-15,138.21,139.67,137.72,138.63,2030147
2018-06-18,136.35,136.62,135.13,136.03,6905204
2018-06-19,136.44,136.59,136.38,136.41,5741482
2018-06-20,137.33,137.89,136.85,136.91,3712723
2018-06-21,140.93,141.4,139.56,140.28,3770367
2018-06-22,142.51,142.72,140.83,142.4,1553694
2018-06-25,143.99,144.47,143.01,143.34,3029346
2018-06-26,145.85,147.27,145.38,147.23,7470956
2018-06-27,145.12,145.48,143.52,144.2,1219741
2018-06-28,142.88,143.5,142.07,142.66,2022860
2018-06-29,141.05,141.36,139.57,140.44,6922353
2018-07-02,138.93,140.18,137.47,139.62,4642296
2018-07-03,135.91,136.91,134.64,136.37,1226302
2018-07-04,138.19,138.24,137.37,138.11,4428367
2018-07-05,137.73,138.26,136.76,137.74,6249881
2018-07-06,134.47,134.9,134.07,134.32,3415504
2018-07-09,132.63,133.53,131.11,132.06,3673919
2018-07-10,132.03,133.98,129.54,132.97,5419225
2018-07-11,135.67,136.54,134.3,135.14,5190814
2018-07-12,140.24,140.69,139.84,140.24,7320391
2018-07-13,147.81,149.69,147.28,147.93,2733746
2018-07-16,148.3,149.35,146.95,149.18,2932490
2018-07-17,146.98,149.65,146.14,146.68,2087797
2018-07-18,139.92,141.48,139.18,141.29,5654441
2018-07-19,142.47,142.69,142.08,142.1,4733716
2018-07-20,139.33,140.51,139.3,140.17,3428659
2018-07-23,139.3,139.61,138.57,139.27,5869323
2018-07-24,137.83,138.59,137.78,137.9,3636808
2018-07-25,138.35,138.45,137.08,137.71,2368453
2018-07-26,140.45,142.05,140.31,140.55,4778926
2018-07-27,140.74,141.34,140.54,141.13,4054512
2018-07-30,140.63,141.15,139.84,140.92,3837773
2018-07-31,139.2,139.96,137.67,138.5,4112584
2018-08-01,134.84,135.18,134.21,134.56,7399412
2018-08-02,133.33,133.65,132.98,133.54,2511854
2018-08-03,133.43,134.04,133.31,133.55,2930688
2018-08-06,137.13,138.64,137.06,137.99,4955346
2018-08-07,138.63,140.85,137.69,138.42,1326926
2018-08-08,139.96,141.18,139.91,140.96,2021549
2018-08-09,140.16,141.38,139.22,139.74,4964360
2018-08-10,136.87,137.44,136.02,136.8,4568244
2018-08-13,135.72,135.76,133.12,134.43,5569741
2018-08-14,132.07,133.09,131.79,132.65,1794020
2018-08-15,137.73,138.24,137.26,137.78,6977133
2018-08-16,136.67,137.23,135.13,135.7,4398796
2018-08-17,138.35,138.88,135.61,137.69,2085184
2018-08-20,135.02,135.68,134.3,135.4,3181193
2018-08-21,137.74,138.47,136.54,137.62,2592197
2018-08-22,138.52,139.03,137.85,138.51,4165724
2018-08-23,138.23,138.99,136.54,138.07,4285674
2018-08-24,137.54,138.91,136.89,137.93,4036245
2018-08-27,136.23,137.15,134.14,136.28,4227053
2018-08-28,136.48,137.93,136.11,137.36,7355531
2018-08-29,136.29,137.09,135.76,136.22,7714027
2018-08-30,133.48,133.51,133.11,133.24,4429549
2018-08-31,130.07,130.8,129.86,130.19,7741163
2018-09-03,129.73,131.96,128.71,130.58,6729492
2018-09-04,134.85,135.55,134.01,134.32,6739716
2018-09-05,134.87,135.01,134.02,134.67,2579566
2018-09-06,133.95,134.84,133.19,134.34,4068983
2018-09-07,134.82,135.28,133.94,134.97,3464579
2018-09-10,137.29,138.94,135.96,138.12,1675158
2018-09-11,138.02,139.84,137.94,138.59,1525625
2018-09-12,137.2,138.09,136.69,137.5,5357033
2018-09-13,140.88,141.36,139.67,140.19,3945234
2018-09-14,140.86,141.8,140.31,141.22,6780054
2018-09-17,145.5,146.7,144.51,145.13,5680899
2018-09-18,145.27,146.44,144.15,145.59,1596212
2018-09-19,142.55,143.17,141.13,142.41,6867169
2018-09-20,138.89,139.27,138.73,138.97,4472673
2018-09-21,143.72,144.9,142.71,143.22,4961404
2018-09-24,147.51,149.09,146.53,147.83,7759802
2018-09-25,146.54,148.19,146.28,147.47,5480508
2018-09-26,145.79,146.67,145.55,146.6,1156002
2018-09-27,150.35,151.74,149.68,150.67,2240869
2018-09-28,147.14,147.98,147.04,147.88,3984436
2018-10-01,145.95,146.87,145.39,145.71,1260442
2018-10-02,147.33,148.75,146.69,147.6,2172308
2018-10-03,148.14,148.33,146.67,146.75,6541817
2018-10-04,145.9,147.83,144.96,146.92,1999524
2018-10-05,146.79,147.16,146.66,146.67,2169267
2018-10-08,147.07,148.24,146.37,147.73,4532773
2018-10-09,151.38,152.74,150.94,151.68,1638186
2018-10-10,152.17,152.45,150.43,152.08,2789789
